tdd|successful management of dependencies
color|a css string
the essence of tdd|a good guide
a div|the annoying line break
pdo_mysql|a mysql driver
the api|a lot
pdo|the modern access layer
philosophical/theoretical|question
aggregate root|a way
every byte|a character
much value|organizations
html5|the way
plain coding|way
domain account|administrator
blank|the ' valid-to ' fields
a mask in because|the previous value
the hashtable fixed-size|the following options
values|data structures
mentor|meaningful work
the same index...there|many ways
automatedqa 's testcomplete|a good testing application
the best way|the builtin way
possible model view controller|the best way
family connects|a good example
non-testing colleagues :) presentation|an excellent introduction
a design-time nightmare|panels
link|a superb step-by-step introduction
memoization|a standard way
the host|shared intellect
reflection|an invaluable tool
a keyword|cplusplus bool
a feature of asp.net|master pages
a plugin on top of struts|the master pages functionality
velocity|a generic templating engine
link|a list
escaped|many characters
amazing,it 's|jquery validation plugin plugin
book|fast track
the spofford book mdx solutions|more up date
xom|inspiration
performance|a problem
i think|the hardest solution
architecture|64-bit ant
performance/ database size|the issue perhaps
newer than|timestamp
bindings|wrapper libraries
the api|libsvn
libsvn-java|a mere bridge
markup|a general term
markdown|a library
a single instance|an elegant solution
asp.net|the framework
vb.net|the languages
asp.net|a web application framework
asp.net|microsoft 's web development framework
asp.net|a framework
platform portability|a problem
asp.net|a web application framework
asp.net|an evolution
detailled|the api
1.9|a lot
an open-source|hugin
the performance hit|many orders of magnitude
a browser game|an excellent opportunity
jquery|a great choice
source code|a hack
the following information|part
powershell in action|a great description
function overloading|a cplusplus feature
non-portable|the mangled names
infinite recursion|a common way
fanatic|the corp
ado|an excellent way
the correct solution|the <label> tag
web accessibility|a complex topic
<label>s|a necessary step
garbage|the message
make sure|the only place
multithreaded|code
state|the enemy in multithreaded code
ipc|a bear
lisp|both fantastic choices
ean-13|case
the pb20|a handheld printer
settings|standard key-value pairs
the creator of jquery|resig
in javascript|sizzle
an api|a good example of
the selector engine|a big deal
a selector engine|a javascript library
a selector engine|a way
the initial slowness|a couple things
the actual usercontrol|the layout
the entity|a copy
the only difference|the first argument
fnsplitstringtoint|a column
way|a bonus
spe csharp|an extension
the intellij|visual editor
blasphemy|single quotes
none|an instance
html parser|dead simple
none|the only instance
see constants|immutable values
both listobjects|a single cell
configurable|the class type
mvc|the separation of model
current mouse position|a valid place
the old dll|the same version
recycling app-pools|an effective way
because type|a system.type instance
backup drive|the new master
datamanager|helper classes
the sign|a different user menu item
the 12-hive|a ticket
the smallest|a tick
the screen|the browser 's attempt
contagious|passion
a guid|the id
best bet|an imaging solution
the page|finished loading
the comments in jeff 's article show mvc|a contentious point
applications|more data
read-only|querystring collection
the user|a secondary concern
foo|a string
many custom exceptions|a case
one exception type|a duplicate
fxcop violations|a great way
a ui|a command line
8 properties|the easiest way
writing code like|the caller
dark side|a lot
each row|a row
source control|a tool
sections|navigation
csharp|current language of choice
bar.jpg|all the files
all the jquery plug-ins|an invaluable resource
simplepie|a php library
a matter of education etc.|the argument
pstuff|a pointer
some handrolled reflection code|a better approach
mount|the way
crud application mysql|the way
a piece of crap|mysql
mysql|the only database
kinda|afaik enumeration
slower than mysql|postgresql
script|a simplified version
dynamicmethod instances|garbage
the atmel avr|a risc chip
counting instructions|a valid comparison
brian 's suggestion|the way
smtp|a text
the request scope|the absolute global scope
default|the creator
ikvm|a better approach
the returned value|the value
the simplest terms possible...there|a lot
problem|acrobat reader
the unicode limit|70 chars
contactserver|a predicate function object
a wrong decision in hindsight|checked exceptions
lisp|a multi-paradigm language
the database load|main problem
updates|the exceptions
conventions|an excellent idea
the file|a symbolic link
oracle sql developer|a cross platform application
bandwidth|application
graphviz|a good choice
favourite|the story about naughty dog
representation|the only place
agilian|a bit
@keith|a common misconception
speed|an issue table variables
output|a series of elements
goals|focused on software application development
c/ cplusplus|a fine place
tess ' blog|a great resource
fedora 9|likely a victim
a boolean value tests|empty containers
phi|the golden ratio
printf|answer
the following code|a test case
vsmdi|a meta data
a great read|book
a transaction|a bad idea
the larger changes|the replacement
the work|the conditional attribute
kinda|jspx
original post|the correct understanding
offset|a pain
cripple-ware|a couple of
an award-winning network protocol analyzer|wireshark
favoured|good contrast
flawfinder|security
determine|the principal
mirrorserver|the name
situation|a common problem
coverity|another static cplusplus code analysis tool
the equivalent|iif
iif|a function
a lot though|programs
consistent across|methodology
a ton-o-fun|jquery
the tutorial|a good place
a great combo|actionscript 3 bundles
analyze-packet|pair
a dell|main dev machine
project/solution|the cleaner way
negligable|time
stack|rails on apache
ide|visual studio
handled server-side|the multiple connections
database connections|a limited resource
wasting connections|a major problem
experience|the hardest bit of windows development
maven 2|a complete reimplementation of maven
gcc|a great way
all properties names|cheked configuration properties
persistent type|a string
@thomas owens taglibsharp|a nice library
noticable|load
sql|a good example
a width in css|cleanest bet
part of msdnaa|university
microsoft expression studio|a suite of design
the expression site|the first place
a wonderful podcast|linux action show
cake|instant-doc-executable specs
lightweight cmmi|a myth
the index|an integer
an implementation of fowler 's|the activerecord framework within rails
where database.foobar|correct syntax
xcode|the standard
the real power tool of cocoa development|interface builder
a scripting environment on windows mobile|the configuration service provider interface
